,endTime,artistName,trackName,msPlayed
733,2020-08-16 07:55,Chelsea Cutler,please,11609
734,2020-08-16 07:56,Local Natives,Dark Days,40136
735,2020-08-16 07:56,Harmless,I'm Sure,11540
736,2020-08-16 07:57,Goth Babe,Sometimes,20187
737,2020-08-16 07:57,Postcard Boy,I Hope the World Never Ends,29143
738,2020-08-16 07:58,Free Throw,Two Beers In,55203
739,2020-08-16 07:59,Hozier,Like Real People Do,38598
740,2020-08-16 08:00,Thomas Jack,Basic Instinct - Thomas Jack Remix,67766
741,2020-08-16 08:01,The Japanese House,somethingfartoogoodtofeel,45456
742,2020-08-16 08:02,The Lighthouse And The Whaler,Ascending,19158
743,2020-08-16 08:02,courtship.,Guy Stuff,92338
744,2020-08-16 08:03,Khalid,Intro,39072
745,2020-08-16 08:03,JR JR,Same Dark Places,22716
746,2020-08-16 08:04,Mura Masa,helpline (feat. Tom Tripp),18844
747,2020-08-16 08:05,Prince of Eden,You're Not Dead but You're Sure as Hell Not Alive,39373
748,2020-08-16 08:05,courtship.,Guy Stuff,57297
749,2020-08-16 08:06,Travelers,Sleeptalking,26027
750,2020-08-16 08:06,Peter Bjorn and John,Amsterdam,18580
751,2020-08-16 08:07,Tash Sultana,Murder to the Mind,40843
752,2020-08-16 08:11,Daughter,Landfill,263809
753,2020-08-16 08:16,Daughter,Landfill,263809
754,2020-08-16 08:21,Andrew Belle,In My Veins - Feat. Erin Mccarley,318908
755,2020-08-16 08:26,BANKS,Someone New,281017
756,2020-08-16 08:30,Lauren Aquilina,Fools,213250
757,2020-08-16 08:30,Wet,Don't Wanna Be Your Girl,2667
758,2020-08-16 08:35,Harrison Storm,Change It All,247413
759,2020-08-16 08:39,Labrinth,Forever,202536
760,2020-08-16 08:41,sagun,i don't want to say too much,142105
761,2020-08-16 08:44,Alicks,"This Thing Was Not Living, But Seeking To Live",159526
762,2020-08-16 08:47,Jome,Vapor,28598
763,2020-08-16 08:47,The Japanese House,Wild,119356
764,2020-08-16 08:53,Yoke Lore,Safe and Sound,278077
765,2020-08-16 08:56,Tash Sultana,Can't Buy Happiness,191759
766,2020-08-16 08:57,Labrinth,Following Tyler,88166
767,2020-08-16 09:02,The Lighthouse And The Whaler,Paths,261604
768,2020-08-16 09:06,The Lighthouse And The Whaler,Ascending,230785
769,2020-08-16 09:09,Khalid,Intro,213253
770,2020-08-16 09:10,Prince of Eden,You're Not Dead but You're Sure as Hell Not Alive,58184
771,2020-08-16 09:15,They Dream By Day,Birdsong,256965
772,2020-08-16 09:17,Dayglow,Run the World!!!,176250
773,2020-08-16 09:22,Harrison Storm,Change It All,247413
774,2020-08-16 09:25,Labrinth,Forever,202536
775,2020-08-16 09:29,Alicks,"This Thing Was Not Living, But Seeking To Live",226455
776,2020-08-16 09:31,sagun,i don't want to say too much,142105
777,2020-08-16 09:35,EDEN,sex,218808
778,2020-08-16 09:39,Birdy,Deep End,208840
779,2020-08-16 09:44,Madison Beer,Selfish,223270
780,2020-08-16 09:47,jxdn,Angels & Demons,160119
781,2020-08-16 09:52,Noah Cyrus,Young & Sad,136477
782,2020-08-16 09:56,Noah Cyrus,Young & Sad,53705
783,2020-08-16 09:59,Bazzi,Young & Alive,160465
784,2020-08-16 10:03,Jaymes Young,Habits of My Heart - EP Version,210639
785,2020-08-16 10:06,Years & Years,Breathe,233228
786,2020-08-16 10:07,Labrinth,Still Don't Know My Name,44026
787,2020-08-16 10:11,Daughter,Lifeforms,223119
788,2020-08-16 18:07,City of the Sun,Firefly,178614
789,2020-08-16 18:18,City of the Sun,Firefly,103406
790,2020-08-16 18:22,City of the Sun,Firefly,137674
791,2020-08-16 18:29,City of the Sun,Dreams,348586
792,2020-08-16 18:34,City of the Sun,Brothers,310010
793,2020-08-16 18:37,City of the Sun,I'm with Polly,183638
794,2020-08-16 18:42,City of the Sun,Barcelona,317933
